tweet_id,retweet_count,favorite_count
892420643555336193,7373,35070
892177421306343426,5494,30365
891815181378084864,3632,22827
891689557279858688,7551,38346
891327558926688256,8138,36621
891087950875897856,2727,18467
890971913173991426,1764,10743
890729181411237888,16510,59045
890609185150312448,3779,25415
890240255349198849,6397,28994
890006608113172480,6424,27978
889880896479866881,4356,25432
889665388333682689,8756,43663
889638837579907072,3911,24549
889531135344209921,1974,13836
889278841981685760,4649,22901
888917238123831296,3925,26522
888804989199671297,3709,23256
888554962724278272,3021,17947
888078434458587136,3037,19855
887705289381826560,4723,27593
887517139158093824,10298,42214
887473957103951883,15726,62466
887343217045368832,9225,30647
887101392804085760,5221,27930
886983233522544640,6676,31646
886736880519319552,2778,10884
886680336477933568,3918,20483
886366144734445568,2770,19227
886267009285017600,3,108
886258384151887873,5531,25476
886054160059072513,96,0
885984800019947520,5874,29660
885528943205470208,5585,32735
885518971528720385,3268,18648
885311592912609280,16174,0
885167619883638784,3830,19940
884925521741709313,15798,69978
884876753390489601,4895,25315
884562892145688576,4111,22114
884441805382717440,4988,24714
884247878851493888,17780,65958
884162670584377345,2621,18589
883838122936631299,2991,19906
883482846933004288,8643,41705
883360690899218434,3222,20659
883117836046086144,5802,33755
882992080364220416,3393,21754
882762694511734784,4276,25712
882627270321602560,5303,25535
882268110199369728,10135,40762
882045870035918850,4256,26690
881906580714921986,2980,22190
881666595344535552,9347,46151
881633300179243008,7,115
881536004380872706,14028,45044
881268444196462592,4654,21215
880935762899988482,2445,15584
880872448815771648,3346,19412
880465832366813184,5445,25909
880221127280381952,3636,24534
880095782870896641,3811,25175
879862464715927552,3048,20392
879674319642796034,10,289
879492040517615616,2775,21422
879415818425184262,39143,96283
879376492567855104,2745,15378
879130579576475649,5986,0
879050749262655488,4132,20561
879008229531029506,2349,17354
878776093423087618,3606,17705
878604707211726852,6201,27425
878404777348136964,1119,0
878316110768087041,5812,0
878281511006478336,1119,7038
878057613040115712,5986,38430
877736472329191424,16621,72120
877611172832227328,71,0
877556246731214848,3332,20710
877316821321428993,4579,25051
877201837425926144,4884,24735
876838120628539392,2929,18912
876537666061221889,4132,21731
876484053909872640,2086,17174
876120275196170240,4094,25593
875747767867523072,3757,22953
875144289856114688,4314,20044
875097192612077568,5359,25112
875021211251597312,4160,23361
874680097055178752,4090,25463
874434818259525634,12803,0
874296783580663808,3643,23857
874057562936811520,3515,20830
874012996292530176,9010,31271
873580283840344065,3478,22197
873337748698140672,1398,0
873213775632977920,1398,6559
872967104147763200,4778,24962
872820683541237760,3296,13531
872620804844003328,3221,19024
872486979161796608,8057,37376
872122724285648897,7180,31411
871879754684805121,9685,34404
871762521631449091,3085,18551
871515927908634625,3078,18525
871166179821445120,5080,0
871102520638267392,4896,19218
871032628920680449,3381,20909
870804317367881728,5486,30908
870726314365509632,3,112
870656317836468226,2313,11300
870374049280663552,23733,76570
870308999962521604,3692,20165
870063196459192321,7401,33591
869772420881756160,9063,39258
869702957897576449,5611,25950
869596645499047938,2772,14724
869227993411051520,3352,18806
868880397819494401,12847,60155
868639477480148993,1838,0
868622495443632128,4720,24511
868552278524837888,1838,9293
867900495410671616,3749,22362
867774946302451713,6562,31380
867421006826221569,2230,14835
867072653475098625,106,0
867051520902168576,7077,29750
866720684873056260,4312,18466
866686824827068416,3103,17800
866450705531457537,31671,112890
866334964761202691,12803,48360
