,tweet_id,name,date,time,dog_stage,rating_numerator,rate,retweet_count,favorite_count,p1,p2,p3,text,jpg_url
0,892420643555336193,Phineas,08-01-2017,16:23,,13.0,13.0/10,7373.0,35070.0,Orange,Bagel,Banana,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg
1,892177421306343426,Tilly,08-01-2017,00:17,,13.0,13.0/10,5494.0,30365.0,Chihuahua,Pekinese,Papillon,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg
2,891815181378084864,Archie,07-31-2017,00:18,,12.0,12.0/10,3632.0,22827.0,Chihuahua,Malamute,Kelpie,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg
3,891689557279858688,Darla,07-30-2017,15:58,,13.0,13.0/10,7551.0,38346.0,Paper Towel,Labrador Retriever,Spatula,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg
4,891327558926688256,Franklin,07-29-2017,16:00,,12.0,12.0/10,8138.0,36621.0,Basset,English Springer,German Short-Haired Pointer,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg
5,891087950875897856,,07-29-2017,00:08,,13.0,13.0/10,2727.0,18467.0,Chesapeake Bay Retriever,Irish Terrier,Indian Elephant,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg
6,890971913173991426,Jax,07-28-2017,16:27,,13.0,13.0/10,1764.0,10743.0,Appenzeller,Border Collie,Ice Lolly,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg
7,890729181411237888,,07-28-2017,00:22,,13.0,13.0/10,16510.0,59045.0,Pomeranian,Eskimo Dog,Pembroke,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg
8,890609185150312448,Zoey,07-27-2017,16:25,,13.0,13.0/10,3779.0,25415.0,Irish Terrier,Irish Setter,Chesapeake Bay Retriever,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg
9,890240255349198849,Cassie,07-26-2017,15:59,doggo,14.0,14.0/10,6397.0,28994.0,Pembroke,Cardigan,Chihuahua,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg
10,890006608113172480,Koda,07-26-2017,00:31,,13.0,13.0/10,6424.0,27978.0,Samoyed,Pomeranian,Chow,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg
11,889880896479866881,Bruno,07-25-2017,16:11,,13.0,13.0/10,4356.0,25432.0,French Bulldog,Labrador Retriever,Muzzle,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg
12,889665388333682689,,07-25-2017,01:55,puppo,13.0,13.0/10,8756.0,43663.0,Pembroke,Cardigan,Basenji,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg
13,889638837579907072,Ted,07-25-2017,00:10,,12.0,12.0/10,3911.0,24549.0,French Bulldog,Boxer,Staffordshire Bullterrier,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg
14,889531135344209921,Stuart,07-24-2017,17:02,puppo,13.0,13.0/10,1974.0,13836.0,Golden Retriever,Labrador Retriever,Redbone,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg
15,889278841981685760,Oliver,07-24-2017,00:19,,13.0,13.0/10,4649.0,22901.0,Whippet,Borzoi,Saluki,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg
16,888917238123831296,Jim,07-23-2017,00:22,,12.0,12.0/10,3925.0,26522.0,Golden Retriever,Tibetan Mastiff,Labrador Retriever,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg
17,888804989199671297,Zeke,07-22-2017,16:56,,13.0,13.0/10,3709.0,23256.0,Golden Retriever,Labrador Retriever,English Setter,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best https://t.co/HTQ77yNQ5K,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg
18,888554962724278272,Ralphus,07-22-2017,00:23,,13.0,13.0/10,3021.0,17947.0,Siberian Husky,Eskimo Dog,Malamute,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af https://t.co/YnYAFCTTiK,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg
20,888078434458587136,Gerald,07-20-2017,16:49,,12.0,12.0/10,3037.0,19855.0,French Bulldog,Pug,Bull Mastiff,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway https://t.co/DK7iDPfuRX,https://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg
21,887705289381826560,Jeffrey,07-19-2017,16:06,,13.0,13.0/10,4723.0,27593.0,Basset,Redbone,Weimaraner,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13/10 h*ckin strategic https://t.co/PhrUk20Q64,https://pbs.twimg.com/media/DFHDQBbXgAEqY7t.jpg
22,887517139158093824,,07-19-2017,03:39,,14.0,14.0/10,10298.0,42214.0,Limousine,Tow Truck,Shopping Cart,I've yet to rate a Venezuelan Hover Wiener. This is such an honor. 14/10 paw-inspiring af (IG: roxy.thedoxy) https://t.co/20VrLAA8ba,https://pbs.twimg.com/ext_tw_video_thumb/887517108413886465/pu/img/WanJKwssZj4VJvL9.jpg
23,887473957103951883,Canela,07-19-2017,00:47,,13.0,13.0/10,15726.0,62466.0,Pembroke,Rhodesian Ridgeback,Beagle,This is Canela. She attempted some fancy porch pics. They were unsuccessful. 13/10 someone help her https://t.co/cLyzpcUcMX,https://pbs.twimg.com/media/DFDw2tyUQAAAFke.jpg
24,887343217045368832,,07-18-2017,16:08,,13.0,13.0/10,9225.0,30647.0,Mexican Hairless,Sea Lion,Weimaraner,You may not have known you needed to see this today. 13/10 please enjoy (IG: emmylouroo) https://t.co/WZqNqygEyV,https://pbs.twimg.com/ext_tw_video_thumb/887343120832229379/pu/img/6HSuFrW1lzI_9Mht.jpg
25,887101392804085760,,07-18-2017,00:07,,12.0,12.0/10,5221.0,27930.0,Samoyed,Eskimo Dog,Staffordshire Bullterrier,This... is a Jubilant Antarctic House Bear. We only rate dogs. Please only send dogs. Thank you... 12/10 would suffocate in floof https://t.co/4Ad1jzJSdp,https://pbs.twimg.com/media/DE-eAq6UwAA-jaE.jpg
